Weiterbildung;;;;;
id;description;correctAnswer;wrongAnswer1;wrongAnswer2;wrongAnswer3
wb1;Welche handlungspolitische Maßnahme dient dem Schutz der heimischen Wirtschauft vor ausländischer Konkurrenz? ;Einführung von Zöllen auf ausländische Waren;Abschaffung von Zöllen;Freier Zugang für alle ausländischen Anbieter;
wb2;Ein Unternehmen verkauft 120 Fahrräder für jeweils 230 € das Stück. Für Löhne, Miete, Einkauf etc. fallen Gesamtkosten in Höhe von 26.000 € an. Der Umsatz beträgt 1600€. ;Falsch;Wahr;;
wb3;Welche der folgenden Optionen ist KEIN typisches Motiv für die Gründung eines Unternehmens? ;Langfristige Arbeitsplatzgarantie;Unabhängigkeit;Selbstverwirklichung;Nutzung von Marktchancen
wb4;Welches der folgenden Interessen ist KEIN typisches Interesse von Arbeitnehmerinnen?;Maximale Kosteneffizienz und unternehmerische Flexibilität;Angemessene Vergütung und soziale Absicherung;Tarifliche Entlohnung und Arbeitsplatzsicherheit;
wb5;Welche der folgenden Prinzipien beschreiben das ökonomische Prinzip?;Minimalprinzip und Maximalprinzip;Rentabilitätsprinzip und Effizienzprinzip;Opportunitätsprinzip und Investitionsprinzip;Gewinnprinzip und Sparprinzip
wb6;Ein Unternehmen verkauft 120 Fahrräder zu je 230 €. Die Gesamtkosten betragen 26.000 €. Der Gewinn beträgt 1.600 €.;Wahr;Falsch;;
wb7;Welche der folgenden Optionen sind mögliche Ursachen für Überschuldung?;Übermäßige Verschuldung und negative Geschäftsentwicklung;Hohe laufende Einnahmen und starke Liquidität;Hohe Rücklagenbildung und starke Kapitalreserven;
wb8;Welche Wirtschaftsordnung strebt die Bundesrepublik Deutschland an?;Soziale Marktwirtschaft;Zentralverwaltungswirtschaft;Marktwirtschaft;Zentrale Planwirtschaft
wb9;Wer einen Kredit in kleineren Raten über eine längere Zeit zurückzahlt, zahlt insgesamt mehr Zinsen als bei schnellerer Rückzahlung.;wahr;falsch;;
wb10;Wie hoch sind die Jahreszinsen für ein Darlehen über 2.000 €, wenn ein Zinssatz von 5 % vereinbart wurde? ;100 €;150 €;200 €;
wb11;Welche Aussage ist richtig?;Die Krankenversicherungsbeiträge sind je nach Krankenkasse unterschiedlich hoch. ;In der Regel werden die Sozialversicherungsbeiträge fast ausschließlich von Arbeitnehmerinnen aufgebracht. ;Der Nettolohn ist häufig höher als der Bruttolohn.;
wb12;Welche Interessen teilen Arbeitgeberinnen und Arbeitnehmerinnen häufig?;Arbeitsplatzsicherheit und langfristiger Erfolg;Mehr Arbeitszeit und weniger Lohn;Weniger Belastung und niedrigere Kosten;Bessere Bedingungen und hohe Produktivität
wb13;Angebot und Nachfrage - Welche Aussage ist richtig?;Mit steigendem Preis eines Gutes, sinkt laut Nachfragegesetz die Nachfrage eines Gutes.;Bei Nachfrageüberhang wird von einem Gut weniger nachgefragt, als verfügbar.  ;;
wb14;Welche Faktoren beeinflussen die Nachfrage?;Einkommen der Konsumenten und Preisvorstellungen;Marktgröße und Wettbewerbsverhältnisse;Technologie und Innovationskraft;Produktionskosten und Ressourcenverfügbarkeit
wb15;Wie heißt der Preis, bei dem Angebot und Nachfrage genau übereinstimmen?;Gleichgewichtspreis;Höchstpreis;Mindestpreis;
wb16;Welche Aussage trifft NICHT zu?;Variable Kosten sind unabhängig von der Produktionsmenge, wenn der Fixkostenanteil hoch ist.;Variable Kosten können mit der Produktionsmenge steigen.;Variable Kosten sind abhängig von der produzierten Stückzahl.;Variable Kosten verändern sich bei steigender Produktionsmenge.
wb17;Welche Formel entspricht dem wirtschaftlichen Begriff “Umsatz”?;Umsatz = Menge × Preis ;Umsatz = Gewinn – Steuern;Umsatz = Kosten × Preis;Umsatz = Menge + Kosten
wb18;Ein Annuitätenkredit wird mit konstanten Zahlungen aus Zins und Tilgung zurückgezahlt. Nach der Hälfte der Laufzeit ist die Restschuld meist geringer als die Hälfte des ursprünglichen Kredits.;wahr;Falsch;;
wb19;Welche der folgenden Indikatorenmisst den Wohlstand alternativ zum BIP (Bruttoinlandsprodukt)?;Pro-Kopf Einkommen;Inflationsrate;Unternehmensgewinne;Arbeitslosenquote
wb20;Welcher Unterschied beschreibt den Unterschied zwischen nominalem und realem BIP?;Nominales BIP nutzt aktuelle Preise, reales berücksichtigt Preisänderungen.;Nominales BIP nutzt konstante Preise, reales aktuelle.;;
wb21;Welche Interessen vertreten Arbeitgeberinnen typischerweise?;Kostensenkung und flexible Personalplanung;Hohe Löhne und maximale Sicherheit;Mehr Urlaub und kürzere Arbeitszeit;Mitbestimmung und Arbeitsplatzgarantie
wb22;Was versteht man unter dem Gewinn in der Betriebswirtschaft?;Die Differenz zwischen Umsatz und Kosten ;Die Summe aus Umsatz und Kosten;Der Umsatz ohne Abzüge;Die Menge verkaufter Produkte
wb23;Was kann ein Nachteil der sozialen Marktwirtschaft sein?;Hohe Staatsausgaben und mögliche Bürokratie;Kein Sozialsystem, völlig freier Markt;Kein sozialer Ausgleich, kein Staatseingriff;
wb24;Welche Faktoren bestimmen die Höhe von Löhnen?;Qualifikation der Arbeitnehmenden und Branchenentwicklung;Individuelle Sparziele und betriebliche Sozialangebote;Subjektive Zufriedenheit der Arbeitgebenden und Anzahl der Urlaubstage;
wb25;Welche Aussage trifft auf ein Sparbuch zu?;Ein- und Auszahlung sind grundsätzlich kostenfrei. ;Hoher Zins, aber Kursrisiko. ;Niedriger Zins, aber für den zahlungsverkehr nutzbar. ;
wb26;Was passiert, wenn der Leitzins der Europäischen Zentralbank steigt?;Kredite werden teurer, Sparzinsen steigen;Kredite werden günstiger, Sparzinsen sinken;Der Euro verliert automatisch an Wert;
wb27;"Welche Anlageform gilt als besonders sicher, aber mit niedrigerer Rendite?
";Tagesgeldkonto;Kryptowährungen;Aktienfonds;
wb28;Welche Strategie dient zur Risikominimierung bei Investitonen?;Diversifikation des Portfolios;Kredite aufnehmen, um mehr investieren zu können;Alle Investitionen in eine einzige Aktie stecken.;
wb29;"Was bedeutet ""progressive Besteuerung"" ?";Der Steuersatz steigt mit zunehmendem Einkommen. ;Alle zahlen denselben Prozentsatz ihres Einkommens.;Der Staat erhebt nur Steuern auf hohe Erbschaften.;
wb30;Was beeinflusst typischerweise eine Investitionsentscheidung einer Privatperson?;Risiko der Investition und erwartete Rendite;Steuern und Arbeitsstunden;Politische Stabilität und Unternehmensgröße;Gehalt und Urlaubsanspruch 
wb31;Wie unterscheidet sich eine Aktie von einer Anleihe?;Eine Aktie ist ein Unternehmensantiel, während eine Anleihe ein Darlehen an ein Unternehmen ist.;Aktie garantiert feste Zinsen.;Aktie nur zu Unternehmensgründung.;Aktie bringt immer höhere Rendite.
wb32;Welche der folgenden Optionen beschreibt ein Risiko bei Geldanlagen?;Inflation und mögliche Wertverluste;Langfristige Sicherheit;Steuerersparnisse;Hohe Renditen ohne Unsicherheit
wb33;Was unterscheidet kurzfristige von langfristigen Investitionen?;Kurzfr. Investitionen haben geringere Laufzeit und bieten schnelle Rückflüsse.;Kurzfr. Investitionen werden nur in Aktien getätigt, langfr. nur in Immobilien.;Kurzfr. Investitionen sind für Unternehmen und langfr. nur für Privatpersonen sinnvoll.;
wb34;Was ist der Zinseszinseffekt?;Zinsen werden auf bereits erhaltene Zinsen berechnet.;Zinsen steigen immer jährlich.;Zinsen werden nur auf das ursprüngliche Kapital berechnet.;
wb35;"Was bedeutet ""Liquidität"" in Bezug auf Investitionen?";Die Geschwindigkeit, mit der eine Investition verkauft werden kann.;Der Gewinn aus einer Investition.;Der langfristige Wert einer Investition.;
wb36;Welche Aussage beschreibt am besten eine Anleihe?;Festverzinsliches Wertpapier, mit dem ein Anleger einem Unternehmen oder Staat Geld leiht;Unternehmensanteil mit Anspruch auf Gewinnbeteiligung;Eine kurzfristige Investition in Aktien;
wb37;Wie unterscheiden sich ETFs von traditionellen Investmentfonds?;ETFs sind meist passiv und bilden einen Index ab;ETFs werden nicht börslich gehandelt;ETFs haben höhere Verwaltungskosten;
wb38;Welche der folgenden Aussagen beschreibt am besten einen ETF?;Ein passiv verwalteter Fonds, der einen Index nachbildet.;Ein aktiver Fonds, der nur in einzelen Aktien investiert.;Ein Investment in Immobilien.;
wb39;Was ist ein wesentlicher Vorteil von Immobilieninvestitionen im Vergleich zu Aktien?;Potenzielle steuerliche Vorteile;Geringeres Risiko;Höhere Liquidität;
wb40;"Was passiert in einem Markt mit hoher Nachfrage und geringem Angebot?
";Der Preis steigt;Der Preis bleibt konstant;Der Preis sinkt;
wb41;Was passiert typischerweise, wenn der Preis eines Guts steigt und das Angebot zunimmt?;Die Nachfrage sinkt;Die Nachfrage bleibt unverändert;Die Nachfrage steigt;
wb42;Welche Faktoren bestimmen das Angebot?;Produktionskosten und Ressorcenverfügbarkeit ;Verbraucherpräferenzen und saisonale Trends;Preispolitik und staatliche Eingriffe;Einkommen der Konsumentinnen 
wb43;Welche Aussage beschreibt eine Einschränkung des einfachen Wirtschaftskreislaufs am treffendsten?;Er ignoriert institutionelle Sektoren wie Staat, Finanzsystem und Ausland.;Er bildet nur den realen Güterstrom, nicht aber monetäre Transaktionen ab.;Er berücksichtigt lediglich die Rolle von Konsumenten, nicht aber von Produzenten.;